Business Name,Status,Address,City/State/Zip,Taxpayer ID,Location #,Permit Begin,Permit End
ARIES MANAGEMENT SERVICES,ACTIVE,112 CRAZY HORSE TRL,"FORT DAVIS, TX 79734",32008567037,00002,01/01/2012,
ARIES MANAGEMENT SERVICES,INACTIVE,1428 CRAZY HORSE TRAIL,"FORT DAVIS, TX 79734",32008567037,00001,01/01/1996,03/31/2008
ART & PHOTOGRAPHY BY DIANE LACY,INACTIVE,NORTH HIGHWAY 17,"FORT DAVIS, TX 79734",32006789922,00001,11/01/1997,12/31/2009
ARTEFACTS,INACTIVE,HIGH MEADOW TRAIL DAVIS  MT RESORT,"FORT DAVIS, TX 79734",32005995660,00001,05/01/1998,12/31/1999
ARTHITECTURAL STAINED GLASS INC,ACTIVE,506 LIMPIA CANYON TRAIL,"FORT DAVIS, TX 79734",17524984279,00004,01/01/2000,
ASTRO CARDS,INACTIVE,PRUDE RANCH/HWY 118,"FORT DAVIS, TX 79734",32005951580,00001,05/17/1993,12/25/2021
ASTRONOMICAL INNOVATIONS,INACTIVE,PRUDE RANCH/HWY 118,"FORT DAVIS, TX 79734",32031468260,00001,05/17/1993,06/30/2001
ASTRONOMICALLY XENOGENIC ENTERPRISES (AXE),INACTIVE,PRUDE RANCH/HWY 118,"FORT DAVIS, TX 79734",32032223839,00001,05/17/1993,12/31/1993
ASTROSYSTEMS,INACTIVE,PRUDE RANCH/HWY 118,"FORT DAVIS, TX 79734",32006159258,00001,05/17/1993,12/25/2011
AUBREY LYNN,INACTIVE,109 N STATE ST,"FORT DAVIS, TX 79734",32056243564,00001,03/01/2015,07/01/2016
AUTHORHELPM4,ACTIVE,13 MILKY WAY,"MCDONALD OBS, TX 79734",32088667673,00001,03/01/2023,
AVRAM DUMITRESCU ILLUSTRATIONS,INACTIVE,812 WEST COURT AVE,"FORT DAVIS, TX 79734",32018421985,00002,07/01/2006,10/31/2006
AWARDS UNLIMITED,INACTIVE,201 OLDS CRK,"FORT DAVIS, TX 79734",32008387667,00003,01/01/2003,12/31/2012
BAEZA'S GENERAL STORE,INACTIVE,1600 NORTH STATE ST,"FORT DAVIS, TX 79734",17519387710,00001,04/01/1984,02/27/2008
BAEZA'S LIQUOR,INACTIVE,HWY 118 S S 1 1/10 MILE NE POST OFFICE,"FORT DAVIS, TX 79734",17519387710,00003,04/01/1984,03/31/1991
BEAR TRACK ENTERPRISES,INACTIVE,10 MI N OF FORT DAVIS ON 118,"FORT DAVIS, TX 79734",32015145116,00001,10/01/1987,09/30/1988
BEAR TRACK ENTERPRISES,INACTIVE,10 MI N OF FORT DAVIS ON 118,"FORT DAVIS, TX 79734",32015145116,00001,08/01/1997,12/01/1998
BEAR TRACK STUDIO,INACTIVE,25 MILES N OF FORT DAVIS ON HWY 118,"FORT DAVIS, TX 79734",32015145116,00003,06/02/2004,07/01/2006
BEATEA K,ACTIVE,409 N STATE ST,"FORT DAVIS, TX 79734",32061635499,00004,10/01/2019,
BEATEA K,INACTIVE,502 N STATE ST UNIT E,"FORT DAVIS, TX 79734",32061635499,00003,01/01/2017,09/30/2019
BEATEAK,INACTIVE,200 CEMETERY RD UNIT 3,"FORT DAVIS, TX 79734",32061635499,00002,12/01/2016,12/31/2016
BEAUFORT BAG COMPANY,INACTIVE,DAVIS ST BETWEEN 6TH AND 7TH STS,"FORT DAVIS, TX 79734",32024450739,00001,01/01/1995,06/30/1998
BELLA VISTA FLORAL DECOR & MORE,ACTIVE,1200 E CEMETERY RD,"FORT DAVIS, TX 79734",32082058432,00001,12/01/2021,
BENCOMO MOTORPORT GARAGE,INACTIVE,1/2 MI N COURTHOUSE ON W SIDE HWY 118,"FORT DAVIS, TX 79734",32008048293,00001,01/01/1985,12/31/2018
"BENCOMO MOTORPORT, LLC",ACTIVE,701 N STATE STREET,"FORT DAVIS, TX 79734",32068991416,00001,01/01/2019,
BERGMANN ENTERPRISES,INACTIVE,407 GARRISON ST,"FORT DAVIS, TX 79734",32013571701,00001,12/01/2003,01/25/2023
BERTA'S  FIESTA GIFT SHOP,INACTIVE,502 N STATE ST UNIT E,"FORT DAVIS, TX 79734",32073184932,00001,02/10/2020,
BEVRA,INACTIVE,SOUTHEAST ADD 5 HOUSE,"FORT DAVIS, TX 79734",32009127419,00001,09/01/1999,12/25/2009
BIG BEND AUTO SOUND & SECURITY,INACTIVE,5 HIGHWAY 118 NORTH,"FORT DAVIS, TX 79734",32026786494,00002,08/01/1999,09/01/1999
BIG BEND AUTO SOUND AND SECURITY,INACTIVE,HIGHWAY 118 16 MILES NORTH OF FORT DAVIS,"FORT DAVIS, TX 79734",32026786494,00001,03/01/1993,12/31/1994
BIG BEND BOOKS,INACTIVE,103 N STATE ST,"FORT DAVIS, TX 79734",32051366477,00001,07/01/2013,01/01/2018
BIG BEND BURGER COMPANY,INACTIVE,1300 N STATE ST,"FORT DAVIS, TX 79734",32070484327,00001,05/20/2019,12/31/2019
BIG BEND TELEVISION,INACTIVE,HWY 17 & COURT ST,"FORT DAVIS, TX 79734",17521037956,00002,07/01/1986,12/31/1987
BIG BEND TELEVISION,INACTIVE,-----,"FORT DAVIS, TX 79734",30008556547,00002,01/01/1986,06/30/1986
BIG BEND TELEVISION INC,INACTIVE,THIRD & CHERRY,"FORT DAVIS, TX 79734",17521037956,00003,01/01/1988,09/30/1989
BIG BEND TRAILERS,ACTIVE,17257 STATE HIGHWAY 166,"FORT DAVIS, TX 79734",30118926515,00001,08/10/2006,
BILL CHAPPELL WESTERN ART GALLERY,INACTIVE,1 1/2 BLKS NE COURTHOUSE E/S HWY 17N,"FORT DAVIS, TX 79734",32006712486,00001,08/28/1992,03/31/2005
BILLY G WAGGONER,INACTIVE,200 WALNUT,"FORT DAVIS, TX 79734",32004651710,00001,04/15/2002,06/01/2002
BLOOMINGBRIARTS,INACTIVE,308 S BENTLEY DR,"FORT DAVIS, TX 79734",32057055462,00001,05/01/2015,10/21/2019
BLOYS BOOKS,INACTIVE,WEBSTER & 2ND,"FORT DAVIS, TX 79734",32028530999,00001,03/20/1997,01/01/2001
BLUE AGATE ROCKS & GIFTS,INACTIVE,603A STATE ST,"FORT DAVIS, TX 79734",32012262518,00001,10/01/2003,08/31/2004
BLUE AGATE ROCKS & GIFTS,INACTIVE,409 N STATE ST STE A,"FORT DAVIS, TX 79734",32009340673,00002,11/01/2003,06/30/2014
BLUE AGATE ROCKS & GIFTS,INACTIVE,301 THOMPSON TRAIL,"FORT DAVIS, TX 79734",32009340673,00001,09/01/2002,09/30/2003
BLUE MOUNTAIN BISTRO,INACTIVE,111 N STATE ST,"FORT DAVIS, TX 79734",17526733955,00010,12/31/2011,04/30/2017
BLUE MOUNTAIN BISTRO,INACTIVE,111 N STATE ST,"FORT DAVIS, TX 79734",32062206548,00003,01/17/2017,03/31/2017
BLUE MOUNTAIN BISTRO,ACTIVE,108 N STATE ST,"FORT DAVIS, TX 79734",32062206548,00002,01/17/2017,
BLUE MOUNTAIN DINER,INACTIVE,310 MAIN ST,"FORT DAVIS, TX 79734",32029308908,00001,12/15/1997,08/30/2000
BLUE MOUNTAIN WINES,INACTIVE,HWY 166,"FORT DAVIS, TX 79734",17602978375,00001,10/01/2001,03/31/2006
"BOARFOOT LIMITED, LLC",ACTIVE,106 HIGH LONESOME TRL,"FORT DAVIS, TX 79734",32094233494,00001,04/25/2024,
BOOKFELLER,INACTIVE,209 STATE ST,"FORT DAVIS, TX 79734",32014298130,00005,11/30/2006,12/31/2011
BRANDON-TWEEDY PROPERTY,INACTIVE,TEXAS HIGHWAY 17/118,"FORT DAVIS, TX 79734",32025654909,00002,08/01/1991,04/01/1994
BRASS BOOT GUNSHOP,INACTIVE,HWY 17,"FORT DAVIS, TX 79734",32021857365,00001,05/01/1991,01/01/1994
BRENDA J HUDSON,INACTIVE,102 LOW MEADOW,"FORT DAVIS, TX 79734",32010118324,00003,01/01/2004,12/31/2004
BRENDA J HUDSON,INACTIVE,201 TOMAHAWK TRAIL,"FORT DAVIS, TX 79734",32010118324,00002,01/01/2002,12/31/2003
BRISBIN CONSTRUCTION CO,INACTIVE,HWY 17 N,"FORT DAVIS, TX 79734",32029305128,00001,05/17/1976,12/31/1997
BROKEN ARROW OUTFIT,INACTIVE,DELORES MOUNTAIN,"FORT DAVIS, TX 79734",32026371057,00001,08/01/1993,12/31/1997
BROOKS MOBILE READY MIX SALES & SERVICE,INACTIVE,204 TOMPSON TRAIL,"FORT DAVIS, TX 79734",32015859211,00001,10/16/2004,01/01/2006
BUCKS BUSTED BOARDS,INACTIVE,208 CIRCLE D AVE,"FORT DAVIS, TX 79734",32030016961,00001,10/01/2014,10/01/2016
BUCKS UNLIMITED PLUS,INACTIVE,105 CAVALRY RD,"FORT DAVIS, TX 79734",32028197732,00002,07/01/2000,12/20/2001
BUCKS UNLIMITED PLUS,INACTIVE,HWY 118 NORTH HOUSE #7,"FORT DAVIS, TX 79734",32028197732,00001,06/01/1991,06/30/2000
BUFFALO BENTLEY'S LLC,ACTIVE,236 GRANT DR,"FORT DAVIS, TX 79734",32097446283,00001,12/01/2024,
BURKMAN PHOTOGRAPHY,INACTIVE,305 SQUAW VALLEY,"FORT DAVIS, TX 79734",32013983369,00004,02/01/2007,09/01/2007
BURRITO INN,INACTIVE,1200 N STATE ST,"FORT DAVIS, TX 79734",32010481896,00002,03/07/2004,01/31/2005
BUSY BEE CANDIES,INACTIVE,100 N SGT GONZALES DR,"FORT DAVIS, TX 79734",32014981925,00002,11/01/2008,12/25/2015
BUSY BEE CANDY,INACTIVE,200 N STATE STREET,"FORT DAVIS, TX 79734",32029792010,00001,08/01/2007,02/29/2008
BUTTER FIELD'S,INACTIVE,MAIN STREET,"FORT DAVIS, TX 79734",32009584403,00002,03/01/1983,09/30/1989
BUTTERFIELD INN,INACTIVE,MAIN STREET,"FORT DAVIS, TX 79734",30114366195,00001,10/01/1989,10/01/1989
BUTTERFIELD INN,INACTIVE,HWY 17,"FORT DAVIS, TX 79734",32029521278,00001,07/01/1997,05/29/2002
BUTTERFIELD INN,INACTIVE,HIGHWAY 17,"FORT DAVIS, TX 79734",32027786311,00001,10/01/1989,06/30/1997
BUTTERFIELD INN COTTAGES AND GIFT SHOP,INACTIVE,201 STATE ST,"FORT DAVIS, TX 79734",32006307659,00001,06/14/2002,09/30/2007
BUTTERFIELD MAIN ST COTTAGES,ACTIVE,201 N STATE ST,"FORT DAVIS, TX 79734",32070523694,00004,05/01/2022,
BUTTERFIELD'S GIFT SHOP,INACTIVE,201 STATE STREET,"FORT DAVIS, TX 79734",32014981925,00001,05/01/2004,06/30/2007
C & L SERVICES,INACTIVE,200 URQUHART AVE #1,"FORT DAVIS, TX 79734",32041193445,00001,02/10/2010,12/31/2011
C AND K SALES AND SERVICES,ACTIVE,100 ESPY,"FORT DAVIS, TX 79734",32092526196,00001,11/19/2023,
C D R I VISITORS COMPLEX,ACTIVE,HWY 118,"FORT DAVIS, TX 79734",12373932040,00003,05/05/1984,
CACTUS FOUNTAIN STUDIO,ACTIVE,205 N STATE ST,"FORT DAVIS, TX 79734",32076472490,00005,02/01/2022,
CAFFE.NET LLC,ACTIVE,102 W 6TH ST,"FORT DAVIS, TX 79734",32004169572,00001,02/01/2002,
CALVERT ELECTRIC,INACTIVE,735 S FRONT ST,"FORT DAVIS, TX 79734",32008398318,00005,06/01/2005,02/01/2008
CALVERT ELECTRIC,INACTIVE,HC 74 BOX 105,"FORT DAVIS, TX 79734",32008398318,00004,04/01/1999,05/31/2005
CAMP DAVIS RV PARK LLC,ACTIVE,43424 STATE HIGHWAY 17 S,"FORT DAVIS, TX 79734",32098094181,00001,05/23/2025,
CAMP MUSQUIZ,INACTIVE,,"FORT DAVIS, TX 79734",17414888853,00001,07/01/1964,12/31/1981
CANDY,INACTIVE,400 N STATE ST,"FORT DAVIS, TX 79734",32053526607,00001,04/01/2014,12/25/2017
CAPRON ART,INACTIVE,COURT ST,"FORT DAVIS, TX 79734",32031677746,00004,01/01/1989,01/01/1994
CAPRON STUDIOS,INACTIVE,2 MI N E ON BALMORHEA HWY 17,"FORT DAVIS, TX 79734",32031677746,00002,01/01/1986,05/18/1987
CAPRON STUDIOS,INACTIVE,5 MI ON KENT HWY ACROSS FROM PRUDE RANCH,"FORT DAVIS, TX 79734",32031677746,00001,08/14/1983,12/31/1985
CARLTON R EVANS KNIVES,INACTIVE,201 RIDGELINE DR,"FORT DAVIS, TX 79734",32014407673,00003,01/01/2007,01/01/2008
CAROL B MCKNIGHT,INACTIVE,MCDONALD OBSERVATION #15,"FORT DAVIS, TX 79734",32024980909,00003,01/01/1980,12/31/1980
CAROL D CROOK,INACTIVE,HWY 118 N / MCDONALD OBSERVATORY,"FORT DAVIS, TX 79734",32022495421,00001,01/01/1998,12/31/2001
CAROLYN S PALIT,INACTIVE,SIXTH ST AND WOODWARD HWY 17,"FORT DAVIS, TX 79734",32020445352,00001,07/15/1991,12/31/1991
CARROLL'S CREATIONS,INACTIVE,HWY 118 N-PRUDE RANCH,"FORT DAVIS, TX 79734",32031543435,00003,05/21/1995,05/21/1995
CARROLL'S CREATIONS,INACTIVE,HWY 118 N-PRUDE RANCH,"FORT DAVIS, TX 79734",32031543435,00001,05/08/1994,05/08/1994
CASA MANO PRIETO,INACTIVE,229 MANO PRIETO RD,"FORT DAVIS, TX 79734",32040147962,00002,10/01/2009,12/31/2018
CASSIOPEIA DESIGNS,INACTIVE,802 LONGHORN DR,"FORT DAVIS, TX 79734",32014464054,00001,02/14/2004,12/25/2005
CDJ,INACTIVE,1 HILLCREST DR,"FORT DAVIS, TX 79734",17424454076,00003,01/01/1998,12/31/2010
CELEBR8 CONVENIENCE WINE & SPIRITS,ACTIVE,604 N STATE ST,"FORT DAVIS, TX 79734",32045170530,00004,02/01/2018,
CELEBR8 CONVENIENCE WINE & SPIRITS,ACTIVE,606 N STATE ST,"FORT DAVIS, TX 79734",32080917340,00001,01/01/2022,
CELEBR8 CONVENIENCE WINE & SPIRITS,ACTIVE,604 N STATE ST,"FORT DAVIS, TX 79734",32080917340,00002,01/01/2022,
CELEBR8 CONVENIENCE WINE & SPIRITS,ACTIVE,606 N STATE ST,"FORT DAVIS, TX 79734",32045170530,00003,02/01/2018,
CHARLIE'S RANCH KITCHEN,INACTIVE,HWY 118 N,"FORT DAVIS, TX 79734",39000013209,00001,02/01/1995,10/01/1995
CHATEAU WRIGHT AND BLUE MOUNTAIN TRAIL VINEYARD,INACTIVE,125 BLUE MOUNTAIN TRL,"FORT DAVIS, TX 79734",32001620049,00001,10/01/2016,04/30/2025
CLAY B TIPPIT,INACTIVE,103 CAPTAIN COONEY,"FORT DAVIS, TX 79734",32013946341,00003,12/01/2005,12/04/2015
CLAY B TIPPIT,INACTIVE,300 E DOUGLAS DR,"FORT DAVIS, TX 79734",32013946341,00002,07/19/2004,11/30/2005
CLAY B TIPPIT,INACTIVE,303 SGT MULHERN LOOP,"FORT DAVIS, TX 79734",32013946341,00001,01/01/2004,12/31/2004
COBOS CHEVRON,INACTIVE,118 S COURT,"FORT DAVIS, TX 79734",32028130808,00001,04/01/2001,03/15/2002
COBOS CHEVRON,INACTIVE,SH HWY 118 COURT,"FORT DAVIS, TX 79734",32028896606,00002,10/01/1999,03/31/2001
COBOS FT DAVIS CHEVRON,INACTIVE,MAIN & COURT HOUSE ST,"FT DAVIS, TX 79734",32007441952,00005,04/01/2002,06/01/2002
COFFEE BEANS & RAWHIDE,INACTIVE,109 STATE ST,"FORT DAVIS, TX 79734",12027033914,00001,12/03/2005,12/31/2008
COMBINED SCIENTIFIC SUPPLIES,INACTIVE,END OF TOMAHAWK TRAIL,"FORT DAVIS, TX 79734",32032232855,00001,07/06/1976,01/31/2000
COMBINED SCIENTIFIC SUPPLIES,INACTIVE,ENF OF TOMAHAWK TRAIL-DAVIS MT RESORT,"FORT DAVIS, TX 79734",32006817483,00001,01/01/2000,12/31/2005
"COME & TAKE IT BBQ, LLC",INACTIVE,501 E MUSQUIZ DR,"FORT DAVIS, TX 79734",32056561668,00001,03/01/2015,12/16/2015
COMPASS ELECTRICAL SERVICES,INACTIVE,300 PONDER RANCH RD,"FORT DAVIS, TX 79734",32040601968,00002,10/01/2010,04/30/2013
COMPUTER SERVICES,INACTIVE,101 BUCKBOARD PASS,"FORT DAVIS, TX 79734",32015923413,00001,10/01/2004,01/31/2008
CONKLIN/FASTRACK,INACTIVE,HIGHWAY 18 NORTH FT DAVIS,"FORT DAVIS, TX 79734",32007538310,00001,10/22/1993,12/25/2003
CONNER STEVENS SURVEYING,ACTIVE,18072 STATE HIGHWAY 166,"FORT DAVIS, TX 79734",32007234209,00001,08/24/2015,
COOL WATER TROPICAL FISH,INACTIVE,MAIN ST @OVERLAND TRAIL CAMP GROUND,"FORT DAVIS, TX 79734",32029553412,00001,03/14/1997,06/21/1997
COUNTRY CORNER,INACTIVE,HWY 17,"FORT DAVIS, TX 79734",30009010403,00001,03/09/1985,12/31/1989
COUNTRY CORNER,INACTIVE,HWY 17 S E ADDITION,"FORT DAVIS, TX 79734",30009010403,00003,01/01/1990,01/01/1992
COUNTRY STORE & RV PARK,INACTIVE,205 TOMAHAWK TRL,"FORT DAVIS, TX 79734",18106054812,00001,07/04/2003,08/31/2011
COW CAMP COMPANIES,INACTIVE,410 COURT STREET,"FORT DAVIS, TX 79734",17418216556,00003,07/01/1994,06/30/2003
CRANE FINA,INACTIVE,1100 S GASTON,"CRANE, TX 79734",32010365594,00001,11/18/1989,01/11/1990
CRAVEN INVESTMENTS,INACTIVE,107 MUSQUIZ DR,"FORT DAVIS, TX 79734",32041867683,00001,06/01/2010,04/30/2011
CREATIONS AND STYLE,INACTIVE,43845 STATE HIGHWAY 17,"FORT DAVIS, TX 79734",32042679830,00001,10/01/2010,12/31/2012
CREATIVE COUSINS,INACTIVE,502 N STATE ST STE G,"FORT DAVIS, TX 79734",32014981925,00003,10/15/2018,12/31/2021
CROW'S NEST TRAILER PARK,INACTIVE,18 MILE WEST OF FT DAVIS ON 166 HWY,"FORT DAVIS, TX 79734",30009010593,00001,01/01/1985,06/30/1987
CROW'S NEST TRAILER PARK,INACTIVE,18 MI WEST OF FORT DAVIS ON FM166,"FORT DAVIS, TX 79734",30010593488,00001,07/01/1987,12/31/1992
CROWS CREEK RENTAL LLC,ACTIVE,503 E MUSQUIZ,"FORT DAVIS, TX 79734",32087695360,00001,01/01/2025,
CROWS NEST TRAILER PARK,INACTIVE,HWY 166,"FORT DAVIS, TX 79734",30001882486,00001,05/01/1973,12/31/1984
CUEVA DE LEON,INACTIVE,HWY 17,"FORT DAVIS, TX 79734",32030861390,00003,01/01/1994,12/31/1994
CUEVA DE LEON,INACTIVE,NORTH HIGHWAY 17,"FORT DAVIS, TX 79734",32030861390,00001,04/01/1978,12/31/1993
CUEVA DE LEON RESTAURANT,INACTIVE,HWY 17,"FORT DAVIS, TX 79734",32009149801,00003,01/01/1995,06/30/2023
CUEVA FORT DAVIS,INACTIVE,611 N STATE ST,"FORT DAVIS, TX 79734",32088179018,00001,08/01/2023,
CUSTOM WREATHS & CREATIVE DECOR,ACTIVE,103 THOMPSON TRL,"FORT DAVIS, TX 79734",32095755875,00001,07/04/2024,
CUT LOOSE,INACTIVE,6TH AND MAIN ST,"FORT DAVIS, TX 79734",32025204986,00001,07/01/1997,06/30/1999
DAPHNE ANN HALLAS TSP,INACTIVE,PRUDE RANCH/HWY 118,"FORT DAVIS, TX 79734",32032450614,00001,05/17/1993,12/31/1999
DAVID CHANDLER COMPANY,INACTIVE,PRUDE RANCH,"FORT DAVIS, TX 79734",32032235833,00001,05/01/1995,02/01/1999
DAVID LESTER OHLSEN,INACTIVE,"1RST HOUSE ON RIGHT MCGUINE RIDGE, DAVIS MT RESORT","FORT DAVIS, TX 79734",32010182965,00001,07/26/1999,12/31/2013
DAVIS MOUNTAIN BROOM SHOP,INACTIVE,409 STATE ST,"FORT DAVIS, TX 79734",32061305994,00002,10/01/2018,09/30/2023
DAVIS MOUNTAIN BROOM SHOP,INACTIVE,401 STATE ST,"FORT DAVIS, TX 79734",32061305994,00001,10/01/2016,09/30/2018
DAVIS MOUNTAIN BROOMS,INACTIVE,401 STATE ST,"FORT DAVIS, TX 79734",32018401623,00001,11/01/2005,12/31/2015
DAVIS MOUNTAIN FIREWORKS,INACTIVE,1/8 MI N OF I-118 & 17 ON HWY 17,"FORT DAVIS, TX 79734",32006844321,00001,06/28/1996,05/14/2009
DAVIS MOUNTAIN NUT COMPANY,ACTIVE,510 N STATE STREET,"FORT DAVIS, TX 79734",32009514814,00004,01/01/1996,
DAVIS MOUNTAIN ORGANIC BEEF L L C,INACTIVE,1000 CEMETERY ROAD,"FT DAVIS, TX 79734",32003606996,00001,01/01/2002,10/05/2004
DAVIS MOUNTAIN RV PARK,ACTIVE,43125 STATE HIGHWAY 17,"FORT DAVIS, TX 79734",32038463835,00004,04/01/2020,
DAVIS MOUNTAIN RV PARK,INACTIVE,43073 N STATE HIGHWAY 17,"FORT DAVIS, TX 79734",32038463835,00003,04/01/2019,03/31/2020
DAVIS MOUNTAINS COMMUNITY HEADQUARTERS,INACTIVE,TOMAHAWK TRAIL DAVIS MOUNTAINS RESORT,"FORT DAVIS, TX 79734",30116415255,00001,01/01/1995,03/03/2002
DAVIS MOUNTAINS EDUCATION CENTER INC,INACTIVE,501 E MUSQUIZ DR,"FORT DAVIS, TX 79734",17523890642,00001,01/01/2001,12/31/2011
DAVIS MOUNTAINS INN,INACTIVE,43417 STATE HIGHWAY 17,"FORT DAVIS, TX 79734",32040048434,00001,08/06/2009,12/31/2010
DAVIS MOUNTAINS LOG HOMES,INACTIVE,DOLORES MTN,"FORT DAVIS, TX 79734",32026634199,00001,07/01/1987,01/31/1995
DAVIS MOUNTAINS RESORT,INACTIVE,31 PECOS ST,"FORT DAVIS, TX 79734",14309544469,00002,07/12/1971,09/30/1971
DAVIS MOUNTAINS ROCK SHOP,ACTIVE,601 N STATE ST,"FORT DAVIS, TX 79734",32020681055,00003,08/01/2019,
DAVIS MOUNTAINS STATE PARK,ACTIVE,16453 PARK ROAD 3,"FORT DAVIS, TX 79734",17416803728,00041,01/01/2004,
DAVIS MOUNTAINS WINES INC,INACTIVE,HIGH MEADOWS 25 MI W ON HWY 118,"FORT DAVIS, TX 79734",30004002926,00002,05/01/1981,12/25/1985
DAVIS MTN AVIATION & RESTORATION,INACTIVE,HIGHWAY 17 NORTH,"FORT DAVIS, TX 79734",32010557117,00001,03/01/1991,12/31/2001
DAWN'S MANE ATTRACTION,INACTIVE,603B STATE ST,"FORT DAVIS, TX 79734",32040962857,00002,10/18/2013,12/25/2015
DAWN'S MANE ATTRACTION,INACTIVE,603 STATE ST # B,"FORT DAVIS, TX 79734",32040962857,00001,03/01/2010,12/31/2011
DECOR ON THE GO,INACTIVE,41 COURT AVE,"FORT DAVIS, TX 79734",32026586803,00001,09/15/1995,06/30/1996
DESERT GUIDE SERVICE AND TAXIDERMY,INACTIVE,501 KELLY RANCH RD,"FORT DAVIS, TX 79734",32046062645,00002,01/01/2017,12/31/2018
DESERT ROSE,INACTIVE,MAIN ST,"FORT DAVIS, TX 79734",32019230864,00001,03/23/1991,09/01/1992
DESERT ROSE,INACTIVE,HWY 17,"FORT DAVIS, TX 79734",32008218094,00001,08/15/2000,12/31/2004
"DESERT TAXIDERMY, LLC",ACTIVE,906 CEMETERY RD,"FORT DAVIS, TX 79734",32069701509,00002,10/01/2021,
DESERT WILLOW ENTERPRISES,INACTIVE,309 STATE STREET,"FORT DAVIS, TX 79734",32024838347,00001,03/17/2007,12/31/2009
DILLARD MECHANICAL,INACTIVE,311 N FRONT ST,"FORT DAVIS, TX 79734",32030061926,00003,04/01/2008,12/31/2008
