Business Name,Status,Address,City/State/Zip,Taxpayer ID,Location #,Permit Begin,Permit End
"ABC HOME & COMMERCIAL SERVICES, INC.",ACTIVE,1009 N EARL RUDDER FWY,"BRYAN, TX 77802",17417733601,00013,01/01/2021,
"ABC PEST CONTROL OF COLLEGE STATION, INC.",INACTIVE,1009 N EARL RUDDER FWY,"BRYAN, TX 77802",17426958181,00004,05/01/2019,12/31/2020
ABC PLUMBING,INACTIVE,712 LAWRENCE ST,"BRYAN, TX 77802",30116413466,00001,10/01/1994,12/31/1998
ABEGGLEN'S SPECIALTY CAKES & MORE,INACTIVE,3130 E 29TH ST APT B4,"BRYAN, TX 77802",32041742316,00001,07/01/2010,09/30/2010
ABEGGLEN'S SPECIALTY CAKES AND MORE,INACTIVE,3130 E 29TH ST APT E5,"BRYAN, TX 77802",32039651925,00001,10/01/2010,12/31/2010
ABEL SERVICES,INACTIVE,1634 A BARAK LANE,"BRYAN, TX 77802",32029428920,00002,01/01/1993,01/01/1997
ABEL SERVICES,INACTIVE,3501 TEXAS AVE SUITE 102,"BRYAN, TX 77802",32029428920,00001,10/01/1987,12/31/1992
ABERNATHY SERVICES,INACTIVE,3916 PARK MEADOW LN,"BRYAN, TX 77802",32034804073,00003,01/01/2010,06/30/2011
ABERTH ENGINEERING,ACTIVE,811 VINE ST,"BRYAN, TX 77802",32095527365,00001,06/28/2024,
ABI'S ARMOIRE AND QUILTS,INACTIVE,2908 PAR DR,"BRYAN, TX 77802",32068917866,00001,11/30/2018,03/25/2021
ABIGAIL KATE HERRON,INACTIVE,2301 BROADMOOR DR APT 222,"BRYAN, TX 77802",32070632784,00002,07/01/2020,06/13/2025
ABIGAIL MAKES ART,ACTIVE,4105 VICEROY DR,"BRYAN, TX 77802",32084575011,00001,05/16/2022,
ABIGAIL'S ATTIC,INACTIVE,3218 S TEXAS AVE,"BRYAN, TX 77802",32016748363,00001,04/01/2006,01/01/2009
ABIGAIL'S ATTIC,INACTIVE,3218 S TEXAS AVE,"BRYAN, TX 77802",32015602199,00001,09/01/2004,03/31/2006
ABLE TRANSMISSION AND AUTO CENTER,INACTIVE,2707 S TEXAS AVE,"BRYAN, TX 77802",32004760032,00001,05/05/1990,06/30/1991
ABM COMPANY,INACTIVE,3609 E 29TH ST,"BRYAN, TX 77802",32029183129,00001,09/01/1995,07/31/1997
"ABME AUTO SERVICES, INC",ACTIVE,3000 TOWNE CENTRE WAY,"BRYAN, TX 77802",32064928156,00002,03/18/2019,
ABOVE & BEYOND,INACTIVE,4010 STILLMEADOW DR,"BRYAN, TX 77802",32004812122,00001,01/01/1998,07/15/1999
ABOVE & BEYOND LAWN CARE,INACTIVE,3907 BRIGHTON DR,"BRYAN, TX 77802",32016042825,00002,01/01/2007,06/30/2008
ABP IMPORTS,INACTIVE,1500 BROOK HOLLOW DR,"BRYAN, TX 77802",32019124646,00001,02/14/2006,12/31/2006
ABSOLUTE IMAGES,INACTIVE,1710 S TEXAS AVE STE 103A,"BRYAN, TX 77802",32003415307,00001,06/15/2001,12/25/2008
AC EXPRESS,INACTIVE,1910 GREENFIELD PLZ,"BRYAN, TX 77802",17426126102,00001,10/01/2006,12/31/2006
AC EXPRESS,ACTIVE,1910 GREENFIELD PLZ,"BRYAN, TX 77802",17426126102,00001,04/01/2009,
AC PLUMBING SUPPLY INC,INACTIVE,2705 E VILLA MARIA RD,"BRYAN, TX 77802",17603373808,00003,10/01/2000,11/30/2007
ACADIA WATER PURIFICATION OF BRYAN,INACTIVE,4505 BROMPTON LN,"BRYAN, TX 77802",32023611133,00001,01/03/1995,06/30/1998
ACCENTS BY DESIGN,INACTIVE,4306 NEWCASTLE CT,"BRYAN, TX 77802",32028446477,00001,05/18/1998,12/25/2000
ACCESORIES & MORE,INACTIVE,725 E VILLA MARIA RD STE 2100,"BRYAN, TX 77802",32017931067,00001,08/04/2005,09/30/2005
ACCESSORIES BY SCAMARDO,INACTIVE,2505 WAYSIDE,"BRYAN, TX 77802",32014171063,00001,05/26/1989,12/31/1994
ACCESSORIES WITH CARLENE,INACTIVE,1711 BARAK LN STE 106,"BRYAN, TX 77802",32007078382,00001,04/20/1992,12/31/1996
ACCUBOOKS,INACTIVE,1814 WILDE OAK CIR APT 6,"BRYAN, TX 77802",32007132627,00002,02/27/1999,09/30/1999
ACCUPRINT GRAPHICS & PRINTING,ACTIVE,3729 E 29TH ST,"BRYAN, TX 77802",17427085729,00001,07/01/1994,
ACCUPRINT GRAPHICS AND PRINTING,INACTIVE,3729 EAST 29TH STREET,"BRYAN, TX 77802",17426378554,00001,07/01/1992,06/30/1994
ACCURATE MACHINE WORKS,INACTIVE,425 SOUTH MAIN ST,"BRYAN, TX 77802",17425275678,00001,04/16/1991,08/31/1995
ACCURATE PRINTWORX,INACTIVE,4007 GLENN OAKS DR,"BRYAN, TX 77802",32007517827,00001,01/01/1994,01/01/2007
ACCURATE TYPING & WORD PROCESSING,INACTIVE,1513 WOODLAND DR,"BRYAN, TX 77802",32028808122,00005,01/01/1992,09/30/1992
ACCURATE TYPING & WORD PROCESSING,INACTIVE,1513 WOODLAND DR,"BRYAN, TX 77802",32028808122,00003,11/01/1990,03/31/1991
ACE AMERICAS CASH EXPRESS #479,INACTIVE,3328 E 29TH ST,"BRYAN, TX 77802",17521429633,00208,05/30/1995,01/31/2014
ACE BOLT & SCREW CO,INACTIVE,3202 S TEXAS AVE,"BRYAN, TX 77802",17422168140,00003,01/01/1991,04/30/2011
ACE CASH EXPRESS #1721,INACTIVE,3700 S TEXAS AVE STE 100,"BRYAN, TX 77802",17521429633,00609,12/15/2005,01/31/2014
ACE CASH EXPRESS #1721,INACTIVE,3700 S TEXAS AVE STE 400,"BRYAN, TX 77802",17521429633,00874,02/01/2014,11/30/2015
ACE CASH EXPRESS #479,ACTIVE,3304 E 29TH ST,"BRYAN, TX 77802",17521429633,00884,02/01/2014,
ACE CASH EXPRESS INC,INACTIVE,3700 S TEXAS AVE STE 400,"BRYAN, TX 77802",17521429633,00616,08/16/2006,10/31/2006
ACE LAWN CARE,INACTIVE,1801 E 29TH ST,"BRYAN, TX 77802",32022487857,00001,02/07/1995,02/06/1996
ACE PEST CONTROL,ACTIVE,4300 NEWCASTLE CT,"BRYAN, TX 77802",32009919310,00003,07/01/2000,
ACE PEST CONTROL,ACTIVE,4300 NEWCASTLE CT,"BRYAN, TX 77802",32093133786,00001,01/10/2024,
ACES PLACE,INACTIVE,3100 WILDFLOWER DR STE 304,"BRYAN, TX 77802",32086479071,00001,10/01/2022,
ACHIEVEMENT UNLIMITED,INACTIVE,2300 BROADMOOR APT 19,"BRYAN, TX 77802",30009135648,00001,08/07/1985,12/31/1986
ACKER AVIATION SERVICES L L C,INACTIVE,4715 HUNINGTON DR,"BRYAN, TX 77802",14641500369,00001,01/01/2005,12/31/2006
ACME BRICK #284,ACTIVE,987 N EARL RUDDER FWY,"BRYAN, TX 77802",17524033366,00040,04/01/2003,
ACME VALVE & EQUIPMENT,INACTIVE,4705 BROMPTON LN,"BRYAN, TX 77802",32010662099,00001,10/01/1999,12/25/2004
ACME VALVE & EQUIPMENT CO,INACTIVE,4705 BROMPTON LN,"BRYAN, TX 77802",30116411148,00001,01/01/1995,09/30/1999
ACORN COMMUNICATIONS CO,INACTIVE,3130 E 29TH ST STE A-155,"BRYAN, TX 77802",32006923026,00002,02/05/1992,12/25/2007
ACQUIRE COLLEGIATE SCHOLARSHIP,INACTIVE,3804 BROCKHAMPTON DR,"BRYAN, TX 77802",32028075680,00001,01/01/1996,03/30/1997
ACS JANITORIAL/TWC MOBILE AUTO REPAIR,INACTIVE,3132 E 29TH ST APT 45,"BRYAN, TX 77802",32010967944,00001,04/01/2003,11/13/2003
ACTION CLEANING,INACTIVE,2300 BROADMOOR DR APT 112,"BRYAN, TX 77802",32005260727,00002,09/06/1996,09/30/1996
ACTION CLEANING,INACTIVE,1004 S COULTER,"BRYAN, TX 77802",32005260727,00001,03/01/1994,04/01/1994
ACTION TV AND APPLIANCE RENTAL INC,INACTIVE,725 B EAST VILLA MARIA SUITE 102,"BRYAN, TX 77802",17516052242,00057,10/01/1989,10/31/1997
ACTIVE SEX TOYS,INACTIVE,3708 E 29TH ST,"BRYAN, TX 77802",32087148048,00001,01/01/2023,
ADA OIL CO,INACTIVE,1704 N TEXAS AVE,"BRYAN, TX 77802",17410562569,00009,09/01/1961,03/31/1974
ADAM DEVELOPMENT PROPERTIES LP,INACTIVE,1111 BRIARCREST DR # 300,"BRYAN, TX 77802",17420703096,00002,08/10/2001,11/30/2010
ADAMS & ASSOCIATES,INACTIVE,1716 BRIARCREST DR SUITE 300-A,"BRYAN, TX 77802",32047058725,00001,10/01/1993,12/31/1993
ADAMS INVESTMENT COMPANY,INACTIVE,1919 WEST BY-PASS,"BRYAN, TX 77802",17360930741,00008,05/01/1980,12/31/1984
ADAMS VIDEO SERVICE,INACTIVE,2106 LAZY OAKS LN,"BRYAN, TX 77802",32033987580,00001,10/23/2007,09/01/2011
ADI GROUP INC,INACTIVE,1111 BRIARCREST DR STE 300,"BRYAN, TX 77802",17425390832,00004,05/01/1999,09/30/2010
ADORABLE BABY CREATIONS,INACTIVE,3211 S TEXAS AVE,"BRYAN, TX 77802",32030904968,00001,04/01/1995,12/31/1997
ADORN HEALTH CARE,INACTIVE,1716 BRIARCREST DR STE 300,"BRYAN, TX 77802",32093936683,00001,06/02/2024,06/02/2024
"ADVANCE THERAPY, P.C.",INACTIVE,3700 CROSS PARK DR,"BRYAN, TX 77802",17429240819,00001,01/13/2014,03/31/2022
ADVANCED CARPET CLEANING,INACTIVE,1913 A PINETREE,"BRYAN, TX 77802",32008439435,00001,01/01/1987,09/30/1990
ADVANCED COMMUNICATIONS,INACTIVE,1410 S TEXAS AVE,"BRYAN, TX 77802",32013356038,00002,04/01/1995,11/10/1996
ADVANCED DIGITAL ENGINEERING,INACTIVE,1525 E 29TH APT #1107,"BRYAN, TX 77802",30115197342,00001,11/15/1991,12/31/1992
ADVANCED DIGITAL ENGINEERING,INACTIVE,1525 E 29TH SUITE 1107,"BRYAN, TX 77802",32032877543,00001,06/11/1993,12/01/1993
ADVANCED DIGITAL MEDIA,INACTIVE,2606 PECAN RIDGE DR # A,"BRYAN, TX 77802",32030763778,00001,01/15/1999,12/31/1999
ADVANCED GAMING SYSTEMS INC,ACTIVE,2511 BROADMOOR DR STE 102,"BRYAN, TX 77802",17425849282,00002,01/01/2010,
ADVANCED GAMING SYSTEMS INC,INACTIVE,4405 WARWICK LN,"BRYAN, TX 77802",17425849282,00001,10/01/2002,12/31/2009
ADVANCED HOME HEALTH SERVICES,INACTIVE,1908 GREENFIELD PLZ,"BRYAN, TX 77802",17424940710,00003,10/01/1992,01/01/1997
ADVANCED HOME HEALTH SERVICES,INACTIVE,1908 GREENFIELD PLZ,"BRYAN, TX 77802",17424940710,00002,01/01/1991,12/25/2006
ADVANCED HOME MEDIA,INACTIVE,1109 MIMOSA DR,"BRYAN, TX 77802",32040190939,00002,01/01/2011,12/31/2018
ADVANCED MICRO SOLUTIONS,INACTIVE,4103 S TEXAS AVE STE 102,"BRYAN, TX 77802",32024920848,00003,06/01/2000,12/09/2001
ADVANCED SIGN COMPANY,INACTIVE,3600C E 29TH ST,"BRYAN, TX 77802",32028564428,00001,10/01/1999,03/31/2000
ADVANCED SYSTEMS AND SERVICES INC,INACTIVE,1822 GREENFIELD PLZ,"BRYAN, TX 77802",17427274034,00001,01/15/1995,06/30/1996
ADVANCED TRANSCRIPTION SERVICE,INACTIVE,4000 MEADOWWOOD DR,"BRYAN, TX 77802",32027336067,00001,09/06/1995,12/31/1996
ADVANCED TREE CARE,INACTIVE,813 S GORDON ST,"BRYAN, TX 77802",32005419885,00001,07/13/1995,03/31/1998
ADVANCED TV SERVICE,INACTIVE,814 E VILLA MARIA,"BRYAN, TX 77802",32025018378,00004,01/01/1995,12/31/1995
ADVANCED WIRELESS INC,INACTIVE,2200 BRIARCREST (SUPER WAL-MART),"BRYAN, TX 77802",17428211209,00003,02/10/1999,12/31/1999
ADVANCED-HOME HEALTH SERVICES,INACTIVE,1403 MEMORIAL DR,"BRYAN, TX 77802",17424940710,00001,04/04/1988,12/31/1990
ADVANTAGE CASING,ACTIVE,1203 HOPPESS ST,"BRYAN, TX 77802",32071465515,00001,09/01/2019,
ADVANTAGE COMPUTER CENTER,INACTIVE,3707 E 29TH STREET,"BRYAN, TX 77802",32025902514,00001,08/16/1990,09/30/1993
ADVANTAGE COMPUTER LEARNING CENTER,INACTIVE,3707 E 29TH ST,"BRYAN, TX 77802",32031182812,00001,03/13/1990,09/30/1990
"ADVANTAGE COOLING & HEATING, LLC",ACTIVE,6204 WALDHAM GROVE LN,"BRYAN, TX 77802",17428857654,00004,02/01/2016,
ADVANTAGE SPECIALTIES,INACTIVE,1722 BROADMOOR SUITE 114,"BRYAN, TX 77802",30008970227,00002,07/01/1986,01/01/1987
ADVENTURE ADVERTISING SPECIALITIES,INACTIVE,2523 ARBOR DR,"BRYAN, TX 77802",32013377414,00001,12/01/2003,01/01/2016
AELLUR,ACTIVE,3780 COPPERFIELD DR APT 822,"BRYAN, TX 77802",32046919638,00003,01/01/2019,
AEROFIT AT ROYAL OAKS INC,INACTIVE,4455 CARTER CREEK PKWY,"BRYAN, TX 77802",17427766534,00001,03/01/1996,09/30/1999
AEROFIT HEALTH & FITNESS CENTERS,INACTIVE,3100 WILDFLOWER DR STE 300,"BRYAN, TX 77802",17429302130,00003,05/01/2011,11/01/2017
AEROFIT HEALTH & FITNESS CENTERS,INACTIVE,4455 CARTER CREEK PKWY,"BRYAN, TX 77802",17429302130,00002,10/01/1999,11/01/2017
AEROSPACE COMPONENTS DEVELOPMENT,INACTIVE,2368 W BRIARGATE DR,"BRYAN, TX 77802",14808813217,00001,07/24/1987,12/31/1997
AESTHETIC ELECTROLYSIS & SKIN CARE INC,INACTIVE,2402 BROADMOOR DR STE 101,"BRYAN, TX 77802",17428706018,00001,04/01/1998,01/01/1999
AESTHETICS X ASHLEY,INACTIVE,3100 WILDFLOWER DR STE 304,"BRYAN, TX 77802",32079502038,00001,07/01/2021,09/30/2021
AETOS INTERNATIONAL CORP,INACTIVE,1737 BRIARCREST SUITE 12,"BRYAN, TX 77802",32008820840,00001,08/29/1986,12/31/1986
AFFORDABLE COMM LTD,INACTIVE,1919 S TEXAS AVE,"BRYAN, TX 77802",17605407943,00033,06/19/2006,03/30/2007
AFG COMPUTERS,INACTIVE,2411 DELEE #12,"BRYAN, TX 77802",32021421667,00001,10/30/1991,09/30/1992
AFTER HOURS ARTWORKS,INACTIVE,2415 MEMORIAL DRIVE,"BRYAN, TX 77802",32019762726,00003,07/01/1990,07/01/1994
AFTERGLOW ESTHETICS,INACTIVE,3001 WILDFLOWER DR STE C3,"BRYAN, TX 77802",32086950659,00001,12/01/2022,
AG MECHANICAL,INACTIVE,2604 B PECAN RIDGE,"BRYAN, TX 77802",32023042933,00001,03/12/1995,07/01/1997
AG PC,INACTIVE,3416 OAK HILL DR,"BRYAN, TX 77802",32001214496,00001,01/08/1999,12/31/2001
AG RAGZ,INACTIVE,2305 E BRIARGATE DR,"BRYAN, TX 77802",32025869101,00002,08/10/1994,12/31/1998
AG SERVICES,INACTIVE,739 SHADY LANE,"BRYAN, TX 77802",32028943010,00001,01/21/1994,01/21/1994
AG SOLAR GUARD & SOUND,INACTIVE,3410 S TEXAS AVE,"BRYAN, TX 77802",32023601381,00001,09/01/1996,11/30/1997
AG SOLAR GUARD AND SOUND LLC,INACTIVE,3410 S TEXAS AVE,"BRYAN, TX 77802",17428565356,00001,12/01/1997,06/30/1999
AG SOLAR GUARD INC,ACTIVE,3410 S TEXAS AVE,"BRYAN, TX 77802",17428716843,00001,07/01/1999,
AG WIRE WORKS,INACTIVE,4004 WILLOW OAK ST,"BRYAN, TX 77802",32017482145,00001,05/25/2005,05/25/2005
AGAIN4EVER,INACTIVE,3416 OAK HILL DR,"BRYAN, TX 77802",32076437212,00001,10/12/2021,12/31/2023
AGAIN4EVER,ACTIVE,3416 OAK HILL DR,"BRYAN, TX 77802",32076437212,00002,08/13/2025,
AGASIS COMPANY,INACTIVE,2501 MORRIS LN,"BRYAN, TX 77802",30116412203,00001,07/15/1995,12/01/1995
"AGC KEATING, LLC",ACTIVE,738 N EARL RUDDER FWY,"BRYAN, TX 77802",32081004668,00001,12/15/2021,
AGENT FRIENDLY SOFTWARE INC,INACTIVE,4343 CARTER CREEK PARKWAY SUITE 115,"BRYAN, TX 77802",30007332072,00001,10/01/1983,03/31/1986
AGGIE ART STUDIO,INACTIVE,3813 COURTNEY CIRCLE,"BRYAN, TX 77802",32010468299,00001,10/01/1976,09/30/1980
AGGIE AUDIO,INACTIVE,3701 SOUTH TEXAS AVE,"BRYAN, TX 77802",32004847201,00001,10/01/1991,01/31/1994
AGGIE COMPUTERS & UPGRADES,INACTIVE,2920 KENT ST APT 202,"BRYAN, TX 77802",32010011776,00001,04/28/1997,09/30/1998
